"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","total_crime","income","unemployment","attainment rate"
1979,"USA","United States",220099000,1208030,21460,76390,480700,629480,11041500,3327700,6601000,1112800,12249530,NA,NA,NA
1980,"USA","United States",225349264,1344520,23040,82990,565840,672650,12063700,3795200,7136900,1131700,13408220,NA,NA,NA
1981,"USA","United States",229465714,1361820,22520,82500,592910,663900,12061900,3779700,7194400,1087800,13423720,NA,NA,NA
1982,"USA","United States",231664458,1322390,21010,78770,553130,669480,11652000,3447100,7142500,1062400,12974390,NA,NA,NA
1983,"USA","United States",233791994,1258087,19308,78918,506567,653294,10850543,3129851,6712759,1007933,12108630,NA,NA,NA
1984,"USA","United States",235824902,1273282,18692,84233,485008,685349,10608473,2984434,6591874,1032165,11881755,"22,415",7.5,NA
1985,"USA","United States",237923795,1327767,18976,87671,497874,723246,11102590,3073348,6926380,1102862,12430357,"23,618",7.2,NA
1986,"USA","United States",240132887,1489169,20613,91459,542775,834322,11722700,3241410,7257153,1224137,13211869,"24,897",7,NA
1987,"USA","United States",242288918,1483999,20096,91111,517704,855088,12024709,3236184,7499851,1288674,13508708,"26,061",6.2,NA
1988,"USA","United States",244498982,1566221,20675,92486,542968,910092,12356865,3218077,7705872,1432916,13923086,"27,225",5.5,NA
1989,"USA","United States",246819230,1646037,21500,94504,578326,951707,12605412,3168170,7872442,1564800,14251449,"28,906",5.3,NA
1990,"USA","United States",249464396,1820127,23438,102555,639271,1054863,12655486,3073909,7945670,1635907,14475613,"29,943",5.6,NA
1991,"USA","United States",252153092,1911767,24703,106593,687732,1092739,12961116,3157150,8142228,1661738,14872883,"30,126",6.8,NA
1992,"USA","United States",255029699,1932274,23760,109062,672478,1126974,12505917,2979884,7915199,1610834,14438191,"30,636",7.5,NA
1993,"USA","United States",257782608,1926017,24526,106014,659870,1135607,12218777,2834808,7820909,1563060,14144794,"31,241",6.9,NA
1994,"USA","United States",260327021,1857670,23326,102216,618949,1113179,12131873,2712774,7879812,1539287,13989543,"32,264",6.1,NA
1995,"USA","United States",262803276,1798792,21606,97470,580509,1099207,12063935,2593784,7997710,1472441,13862727,"34,076",5.6,NA
1996,"USA","United States",265228572,1688540,19645,96252,535594,1037049,11805323,2506400,7904685,1394238,13493863,"35,492",5.4,NA
1997,"USA","United States",267783607,1636099,18211,96153,498534,1023201,11558975,2461026,7743760,1354189,13195074,"37,005",4.9,NA
1998,"USA","United States",270248003,1533887,16974,93144,447186,976583,10951827,2332735,7376311,1242781,12485714,"38,885",4.5,NA
1999,"USA","United States",272690813,1426044,15522,89411,409371,911740,10208334,2100739,6955520,1152075,11634378,"40,696",4.2,NA
2000,"USA","United States",281421906,1425486,15586,90178,408016,911706,10182584,2050992,6971590,1160002,11608070,"41,990",4,NA
2001,"USA","United States",285317559,1439480,16037,90863,423557,909023,10437189,2116531,7092267,1228391,11876669,"42,228",4.7,NA
2002,"USA","United States",287973924,1423677,16229,95235,420806,891407,10455277,2151252,7057379,1246646,11878954,"42,409",5.8,NA
2003,"USA","United States",290788976,1383676,16528,93883,414235,859030,10442862,2154834,7026802,1261226,11826538,"43,318",6,NA
2004,"USA","United States",293656842,1360088,16148,95089,401470,847381,10319386,2144446,6937089,1237851,11679474,"44,334",5.5,NA
2005,"USA","United States",296507061,1390745,16740,94347,417438,862220,10174754,2155448,6783447,1235859,11565499,"46,326",5.1,NA
2006,"USA","United States",299398484,1435123,17309,94472,449246,874096,10019601,2194993,6626363,1198245,11454724,"48,201",4.6,NA
2007,"USA","United States",301621157,1422970,17128,92160,447324,866358,9882212,2190198,6591542,1100472,11305182,"50,233",4.6,NA
2008,"USA","United States",304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,11168613,"50,303",5.8,37.83945646
2009,"USA","United States",307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,10662956,"49,777",9.3,38.06573662
2010,"USA","United States",309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,10363873,"49,276",9.6,38.2820515
2011,"USA","United States",311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,10258774,"50,054",8.9,38.7056373
2012,"USA","United States",313873685,1217057,14856,85141,355051,762009,9001992,2109932,6168874,723186,10219049,"51,017",8.1,39.38894426
2013,"USA","United States",316497531,1168298,14319,82109,345093,726777,8651892,1932139,6019465,700288,9820190,"51,939",7.4,39.94397742
2014,"USA","United States",318907401,1153022,14164,84864,322905,731089,8209010,1713153,5809054,686803,9362032,"53,657",6.2,45.3106221
2015,"USA","United States",320896618,1199310,15883,91261,328109,764057,8024115,1587564,5723488,713063,9223425,"56,516",5.3,45.81465194
2016,"USA","United States",323405935,1285606,17413,96970,332797,802982,7928530,1516405,5644835,767290,9214136,"59,039",4.9,46.86114055
2017,"USA","United States",325147121,1283875,17294,NA,320596,810319,7682988,1397045,5513000,772943,8966863,"61,372",4.4,47.63867354
2018,"USA","United States",326687501,1252399,16374,NA,281278,810982,7219084,1235013,5232167,751904,8471483,"63,179",3.9,51.25092652
2019,"USA","United States",328239523,1245410,16425,NA,267988,821182,6925677,1117696,5086096,721885,8171087,"68,703",NA,51.86485858
